Tarih;Saat;Tüketim Miktar?(MWh)
30.09.2025;06:00;32.616,82
30.09.2025;07:00;34.229,21
30.09.2025;08:00;39.597,24
30.09.2025;09:00;41.674,45
30.09.2025;10:00;42.635,46
30.09.2025;11:00;43.141,30
30.09.2025;12:00;41.468,11
30.09.2025;13:00;41.987,69
30.09.2025;14:00;42.683,09
30.09.2025;15:00;42.401,36
30.09.2025;16:00;42.847,19
30.09.2025;17:00;43.340,74
30.09.2025;18:00;43.329,00
30.09.2025;19:00;43.901,92
30.09.2025;20:00;42.636,54
30.09.2025;21:00;41.431,94
30.09.2025;22:00;39.048,06
30.09.2025;23:00;36.987,90
1.10.2025;00:00;34.793,31
1.10.2025;01:00;33.226,65
1.10.2025;02:00;32.013,63
1.10.2025;03:00;31.048,83
1.10.2025;04:00;30.780,25
1.10.2025;05:00;31.215,46
1.10.2025;06:00;31.689,84
1.10.2025;07:00;34.363,36
1.10.2025;08:00;39.545,13
1.10.2025;09:00;40.968,50
1.10.2025;10:00;41.645,54
1.10.2025;11:00;41.944,40
1.10.2025;12:00;40.267,47
1.10.2025;13:00;40.608,54
1.10.2025;14:00;41.573,97
1.10.2025;15:00;41.404,47
1.10.2025;16:00;41.975,87
1.10.2025;17:00;42.560,36
1.10.2025;18:00;42.951,58
1.10.2025;19:00;43.546,28
1.10.2025;20:00;42.492,02
1.10.2025;21:00;41.039,14
1.10.2025;22:00;39.299,00
1.10.2025;23:00;37.349,73
2.10.2025;00:00;35.233,36
2.10.2025;01:00;33.519,66
2.10.2025;02:00;32.300,03
2.10.2025;03:00;31.697,12
2.10.2025;04:00;31.484,89
2.10.2025;05:00;31.710,96
2.10.2025;06:00;32.552,78
2.10.2025;07:00;34.574,16
2.10.2025;08:00;39.334,81
2.10.2025;09:00;41.213,54
2.10.2025;10:00;41.566,37
2.10.2025;11:00;41.132,50
2.10.2025;12:00;39.728,83
2.10.2025;13:00;40.850,91
2.10.2025;14:00;41.863,50
2.10.2025;15:00;41.643,44
2.10.2025;16:00;42.498,21
2.10.2025;17:00;43.097,23
2.10.2025;18:00;43.521,12
2.10.2025;19:00;43.848,26
2.10.2025;20:00;42.721,02
2.10.2025;21:00;41.167,93
2.10.2025;22:00;39.561,06
2.10.2025;23:00;37.806,99
3.10.2025;00:00;35.330,08
3.10.2025;01:00;33.928,38
3.10.2025;02:00;32.599,70
3.10.2025;03:00;31.790,06
3.10.2025;04:00;31.553,84
3.10.2025;05:00;31.933,56
3.10.2025;06:00;32.674,37
3.10.2025;07:00;34.477,03
3.10.2025;08:00;39.584,54
3.10.2025;09:00;42.066,10
3.10.2025;10:00;42.577,01
3.10.2025;11:00;43.880,65
3.10.2025;12:00;40.753,10
3.10.2025;13:00;40.723,58
3.10.2025;14:00;42.785,58
3.10.2025;15:00;43.129,60
3.10.2025;16:00;43.244,33
3.10.2025;17:00;43.090,48
3.10.2025;18:00;43.175,43
3.10.2025;19:00;43.419,34
3.10.2025;20:00;42.147,90
3.10.2025;21:00;40.678,26
3.10.2025;22:00;38.792,70
3.10.2025;23:00;37.160,42
4.10.2025;00:00;34.983,25
4.10.2025;01:00;33.519,58
4.10.2025;02:00;32.217,28
4.10.2025;03:00;31.149,37
4.10.2025;04:00;30.690,62
4.10.2025;05:00;31.044,18
4.10.2025;06:00;31.238,66
4.10.2025;07:00;31.945,18
4.10.2025;08:00;35.572,74
4.10.2025;09:00;37.528,72
4.10.2025;10:00;38.779,11
4.10.2025;11:00;39.711,97
4.10.2025;12:00;38.581,37
4.10.2025;13:00;39.013,96
4.10.2025;14:00;38.815,47
4.10.2025;15:00;38.190,26
4.10.2025;16:00;38.462,46
4.10.2025;17:00;39.377,86
4.10.2025;18:00;40.724,55
4.10.2025;19:00;41.463,26
4.10.2025;20:00;40.368,06
4.10.2025;21:00;38.910,98
4.10.2025;22:00;37.323,46
4.10.2025;23:00;35.312,70
5.10.2025;00:00;33.200,23
5.10.2025;01:00;31.808,08
5.10.2025;02:00;30.227,01
5.10.2025;03:00;29.383,37
5.10.2025;04:00;28.845,10
5.10.2025;05:00;28.965,05
5.10.2025;06:00;28.792,83
5.10.2025;07:00;28.230,39
5.10.2025;08:00;29.162,24
5.10.2025;09:00;30.333,41
5.10.2025;10:00;31.833,34
5.10.2025;11:00;32.760,89
5.10.2025;12:00;32.384,65
5.10.2025;13:00;32.877,23
5.10.2025;14:00;32.526,85
5.10.2025;15:00;32.187,02
5.10.2025;16:00;32.629,40
5.10.2025;17:00;34.092,64
5.10.2025;18:00;36.630,97
5.10.2025;19:00;37.980,34
5.10.2025;20:00;37.380,95
5.10.2025;21:00;36.343,29
5.10.2025;22:00;34.916,48
5.10.2025;23:00;33.104,56
6.10.2025;00:00;31.545,43
6.10.2025;01:00;30.313,86
6.10.2025;02:00;29.289,21
6.10.2025;03:00;28.524,43
6.10.2025;04:00;28.631,94
6.10.2025;05:00;29.156,98
6.10.2025;06:00;30.174,66
6.10.2025;07:00;32.798,65
6.10.2025;08:00;38.337,97
6.10.2025;09:00;40.408,63
6.10.2025;10:00;40.771,90
6.10.2025;11:00;41.297,90
6.10.2025;12:00;39.785,29
6.10.2025;13:00;40.660,65
6.10.2025;14:00;41.296,70
6.10.2025;15:00;41.083,68
6.10.2025;16:00;41.804,15
6.10.2025;17:00;42.633,92
6.10.2025;18:00;43.063,04
6.10.2025;19:00;43.159,25
6.10.2025;20:00;41.987,64
6.10.2025;21:00;40.622,56
6.10.2025;22:00;38.892,97
6.10.2025;23:00;36.820,51
7.10.2025;00:00;35.017,39
7.10.2025;01:00;33.361,33
7.10.2025;02:00;32.287,41
7.10.2025;03:00;31.187,27
7.10.2025;04:00;31.291,59
7.10.2025;05:00;31.451,03
7.10.2025;06:00;32.069,75
7.10.2025;07:00;34.317,16
7.10.2025;08:00;39.583,80
7.10.2025;09:00;41.520,10
7.10.2025;10:00;42.170,73
7.10.2025;11:00;43.282,00
7.10.2025;12:00;41.374,90
7.10.2025;13:00;41.836,10
7.10.2025;14:00;42.665,58
7.10.2025;15:00;42.521,65
7.10.2025;16:00;42.664,38
7.10.2025;17:00;42.942,84
7.10.2025;18:00;43.100,72
7.10.2025;19:00;43.192,85
7.10.2025;20:00;41.905,34
7.10.2025;21:00;40.556,73
7.10.2025;22:00;38.587,89
7.10.2025;23:00;36.813,14
8.10.2025;00:00;34.581,05
8.10.2025;01:00;33.091,52
8.10.2025;02:00;31.867,32
8.10.2025;03:00;31.051,73
8.10.2025;04:00;30.872,71
8.10.2025;05:00;31.255,13
8.10.2025;06:00;32.112,31
8.10.2025;07:00;34.260,85
8.10.2025;08:00;39.870,47
8.10.2025;09:00;41.985,12
8.10.2025;10:00;42.396,83
8.10.2025;11:00;43.392,98
8.10.2025;12:00;41.479,17
8.10.2025;13:00;41.844,74
8.10.2025;14:00;42.539,71
8.10.2025;15:00;42.013,70
8.10.2025;16:00;42.523,95
8.10.2025;17:00;42.733,98
8.10.2025;18:00;42.895,30
8.10.2025;19:00;42.881,18
8.10.2025;20:00;41.838,90
8.10.2025;21:00;40.516,69
8.10.2025;22:00;38.918,17
8.10.2025;23:00;36.833,73
9.10.2025;00:00;34.678,92
9.10.2025;01:00;33.210,29
9.10.2025;02:00;31.937,48
9.10.2025;03:00;31.130,99
9.10.2025;04:00;31.103,58
9.10.2025;05:00;31.384,25
9.10.2025;06:00;32.311,25
9.10.2025;07:00;34.499,53
9.10.2025;08:00;40.295,79
9.10.2025;09:00;43.033,07
9.10.2025;10:00;43.295,21
9.10.2025;11:00;43.739,98
9.10.2025;12:00;41.395,03
9.10.2025;13:00;41.991,04
9.10.2025;14:00;42.771,33
9.10.2025;15:00;42.339,40
9.10.2025;16:00;42.869,84
9.10.2025;17:00;42.872,66
9.10.2025;18:00;42.747,59
9.10.2025;19:00;42.645,07
9.10.2025;20:00;41.755,89
9.10.2025;21:00;40.724,37
9.10.2025;22:00;38.749,95
9.10.2025;23:00;36.819,01
10.10.2025;00:00;34.538,87
10.10.2025;01:00;32.926,25
10.10.2025;02:00;31.947,77
10.10.2025;03:00;31.133,62
10.10.2025;04:00;31.045,48
10.10.2025;05:00;31.359,06
10.10.2025;06:00;32.344,04
10.10.2025;07:00;34.818,64
10.10.2025;08:00;40.107,76
10.10.2025;09:00;42.018,10
10.10.2025;10:00;42.527,03
10.10.2025;11:00;42.989,68
10.10.2025;12:00;40.404,47
10.10.2025;13:00;40.525,60
10.10.2025;14:00;41.870,55
10.10.2025;15:00;40.951,34
10.10.2025;16:00;41.208,06
10.10.2025;17:00;41.845,73
10.10.2025;18:00;42.493,46
10.10.2025;19:00;42.425,02
10.10.2025;20:00;41.233,32
10.10.2025;21:00;40.104,93
10.10.2025;22:00;38.632,96
10.10.2025;23:00;36.740,36
11.10.2025;00:00;34.617,03
11.10.2025;01:00;32.992,78
11.10.2025;02:00;31.477,44
11.10.2025;03:00;30.502,72
11.10.2025;04:00;30.313,06
11.10.2025;05:00;30.605,84
11.10.2025;06:00;30.889,58
11.10.2025;07:00;31.690,94
11.10.2025;08:00;35.341,36
11.10.2025;09:00;36.695,57
11.10.2025;10:00;38.657,33
11.10.2025;11:00;39.433,70
11.10.2025;12:00;38.303,88
11.10.2025;13:00;38.498,35
11.10.2025;14:00;38.677,60
11.10.2025;15:00;38.322,43
11.10.2025;16:00;38.639,62
11.10.2025;17:00;39.710,47
11.10.2025;18:00;41.183,01
11.10.2025;19:00;41.175,85
11.10.2025;20:00;39.942,72
11.10.2025;21:00;38.676,98
11.10.2025;22:00;37.307,95
11.10.2025;23:00;35.171,09
12.10.2025;00:00;33.119,72
12.10.2025;01:00;31.473,28
12.10.2025;02:00;30.094,59
12.10.2025;03:00;28.972,18
12.10.2025;04:00;28.761,72
12.10.2025;05:00;28.861,84
12.10.2025;06:00;28.979,47
12.10.2025;07:00;28.163,48
12.10.2025;08:00;29.189,54
12.10.2025;09:00;30.729,22
12.10.2025;10:00;32.308,88
12.10.2025;11:00;33.185,48
12.10.2025;12:00;33.501,83
12.10.2025;13:00;34.213,79
12.10.2025;14:00;34.435,99
12.10.2025;15:00;34.336,08
12.10.2025;16:00;34.258,22
12.10.2025;17:00;34.965,95
12.10.2025;18:00;37.118,05
12.10.2025;19:00;37.799,48
12.10.2025;20:00;36.953,98
12.10.2025;21:00;35.885,41
12.10.2025;22:00;34.442,62
12.10.2025;23:00;32.589,68
13.10.2025;00:00;30.832,48
13.10.2025;01:00;29.466,68
13.10.2025;02:00;28.585,87
13.10.2025;03:00;27.790,58
13.10.2025;04:00;27.786,01
13.10.2025;05:00;28.370,75
13.10.2025;06:00;29.492,15
13.10.2025;07:00;32.476,33
13.10.2025;08:00;38.391,34
13.10.2025;09:00;40.482,51
13.10.2025;10:00;41.639,75
13.10.2025;11:00;41.903,88
13.10.2025;12:00;39.861,44
13.10.2025;13:00;39.720,16
13.10.2025;14:00;40.005,62
13.10.2025;15:00;39.506,89
13.10.2025;16:00;40.411,01
13.10.2025;17:00;41.740,17
13.10.2025;18:00;42.749,72
13.10.2025;19:00;42.659,76
13.10.2025;20:00;41.622,23
13.10.2025;21:00;40.348,65
13.10.2025;22:00;38.603,29
13.10.2025;23:00;36.733,13
14.10.2025;00:00;34.357,48
14.10.2025;01:00;32.804,03
14.10.2025;02:00;31.765,71
14.10.2025;03:00;30.981,14
14.10.2025;04:00;30.794,50
14.10.2025;05:00;31.263,07
14.10.2025;06:00;32.320,71
14.10.2025;07:00;34.464,95
14.10.2025;08:00;39.045,64
14.10.2025;09:00;40.818,74
14.10.2025;10:00;40.882,39
14.10.2025;11:00;41.146,09
14.10.2025;12:00;39.164,93
14.10.2025;13:00;39.626,17
14.10.2025;14:00;40.470,52
14.10.2025;15:00;40.410,18
14.10.2025;16:00;41.305,98
14.10.2025;17:00;42.434,41
14.10.2025;18:00;43.212,48
14.10.2025;19:00;43.019,11
14.10.2025;20:00;41.812,20
14.10.2025;21:00;40.410,70
14.10.2025;22:00;38.988,60
14.10.2025;23:00;36.708,03
15.10.2025;00:00;34.652,54
15.10.2025;01:00;33.010,59
15.10.2025;02:00;31.897,03
15.10.2025;03:00;31.257,00
15.10.2025;04:00;31.079,15
15.10.2025;05:00;31.335,35
15.10.2025;06:00;32.440,51
15.10.2025;07:00;34.724,43
15.10.2025;08:00;39.558,23
15.10.2025;09:00;41.008,16
15.10.2025;10:00;41.116,40
15.10.2025;11:00;41.196,41
15.10.2025;12:00;38.958,87
15.10.2025;13:00;38.633,05
15.10.2025;14:00;40.380,01
15.10.2025;15:00;40.360,23
15.10.2025;16:00;41.226,81
15.10.2025;17:00;42.292,28
15.10.2025;18:00;43.046,63
15.10.2025;19:00;42.811,02
15.10.2025;20:00;41.767,87
15.10.2025;21:00;40.577,02
15.10.2025;22:00;38.711,56
15.10.2025;23:00;36.398,34
16.10.2025;00:00;34.406,17
16.10.2025;01:00;33.053,89
16.10.2025;02:00;31.998,92
16.10.2025;03:00;31.205,66
16.10.2025;04:00;31.047,63
16.10.2025;05:00;31.548,10
16.10.2025;06:00;32.573,92
16.10.2025;07:00;34.901,40
16.10.2025;08:00;39.561,81
16.10.2025;09:00;41.372,19
16.10.2025;10:00;41.507,90
16.10.2025;11:00;41.844,07
16.10.2025;12:00;39.510,78
16.10.2025;13:00;39.845,88
16.10.2025;14:00;40.581,29
16.10.2025;15:00;40.770,79
16.10.2025;16:00;42.087,56
16.10.2025;17:00;43.264,82
16.10.2025;18:00;43.804,32
16.10.2025;19:00;43.251,52
16.10.2025;20:00;42.191,65
16.10.2025;21:00;40.924,25
16.10.2025;22:00;39.159,59
16.10.2025;23:00;36.880,76
17.10.2025;00:00;35.122,18
17.10.2025;01:00;33.494,90
17.10.2025;02:00;32.341,18
17.10.2025;03:00;31.726,75
17.10.2025;04:00;31.538,70
17.10.2025;05:00;31.903,33
17.10.2025;06:00;33.025,36
17.10.2025;07:00;35.370,97
17.10.2025;08:00;39.827,38
17.10.2025;09:00;41.281,53
17.10.2025;10:00;41.770,70
17.10.2025;11:00;41.633,75
17.10.2025;12:00;38.934,71
17.10.2025;13:00;38.745,36
17.10.2025;14:00;40.377,53
17.10.2025;15:00;40.450,99
17.10.2025;16:00;41.263,07
17.10.2025;17:00;41.757,45
17.10.2025;18:00;43.358,31
17.10.2025;19:00;42.811,69
17.10.2025;20:00;41.632,68
17.10.2025;21:00;40.288,45
17.10.2025;22:00;38.753,01
17.10.2025;23:00;36.945,70
18.10.2025;00:00;34.645,77
18.10.2025;01:00;33.107,95
18.10.2025;02:00;31.876,44
18.10.2025;03:00;31.062,13
18.10.2025;04:00;30.751,84
18.10.2025;05:00;30.814,28
18.10.2025;06:00;31.300,79
18.10.2025;07:00;31.906,96
18.10.2025;08:00;35.378,89
18.10.2025;09:00;37.591,20
18.10.2025;10:00;38.835,42
18.10.2025;11:00;39.441,02
18.10.2025;12:00;38.068,63
18.10.2025;13:00;38.670,23
18.10.2025;14:00;38.650,17
18.10.2025;15:00;38.157,79
18.10.2025;16:00;38.724,53
18.10.2025;17:00;39.435,27
18.10.2025;18:00;40.996,72
18.10.2025;19:00;40.187,53
18.10.2025;20:00;39.607,61
18.10.2025;21:00;38.456,70
18.10.2025;22:00;37.007,55
18.10.2025;23:00;35.094,00
19.10.2025;00:00;32.971,16
19.10.2025;01:00;31.420,04
19.10.2025;02:00;29.885,22
19.10.2025;03:00;29.378,45
19.10.2025;04:00;28.970,08
19.10.2025;05:00;29.030,45
19.10.2025;06:00;28.912,10
19.10.2025;07:00;28.451,47
19.10.2025;08:00;29.319,30
19.10.2025;09:00;30.157,88
19.10.2025;10:00;31.480,66
19.10.2025;11:00;32.755,40
19.10.2025;12:00;32.904,59
19.10.2025;13:00;33.651,75
19.10.2025;14:00;33.961,51
19.10.2025;15:00;34.121,07
19.10.2025;16:00;34.678,47
19.10.2025;17:00;35.766,61
19.10.2025;18:00;38.030,89
19.10.2025;19:00;38.118,08
19.10.2025;20:00;37.202,88
19.10.2025;21:00;36.133,32
19.10.2025;22:00;34.863,88
19.10.2025;23:00;33.158,28
20.10.2025;00:00;31.547,99
20.10.2025;01:00;30.279,34
20.10.2025;02:00;29.349,21
20.10.2025;03:00;28.870,74
20.10.2025;04:00;28.584,19
20.10.2025;05:00;29.167,49
20.10.2025;06:00;30.278,34
20.10.2025;07:00;32.963,07
20.10.2025;08:00;39.094,14
20.10.2025;09:00;41.559,00
20.10.2025;10:00;41.999,97
20.10.2025;11:00;42.378,87
20.10.2025;12:00;40.629,78
20.10.2025;13:00;40.965,56
20.10.2025;14:00;41.855,65
20.10.2025;15:00;41.963,92
20.10.2025;16:00;42.305,94
20.10.2025;17:00;43.238,80
20.10.2025;18:00;43.725,11
20.10.2025;19:00;43.054,86
20.10.2025;20:00;42.017,95
20.10.2025;21:00;40.585,28
20.10.2025;22:00;38.731,04
20.10.2025;23:00;36.827,74
21.10.2025;00:00;34.747,35
21.10.2025;01:00;33.339,30
21.10.2025;02:00;31.951,23
21.10.2025;03:00;31.269,50
21.10.2025;04:00;31.084,48
21.10.2025;05:00;31.415,34
21.10.2025;06:00;32.611,62
21.10.2025;07:00;34.847,37
21.10.2025;08:00;40.047,59
21.10.2025;09:00;41.752,25
21.10.2025;10:00;41.622,28
21.10.2025;11:00;41.010,03
21.10.2025;12:00;38.425,18
21.10.2025;13:00;39.031,58
21.10.2025;14:00;40.485,75
21.10.2025;15:00;41.381,65
21.10.2025;16:00;42.222,34
21.10.2025;17:00;43.183,95
21.10.2025;18:00;44.060,95
21.10.2025;19:00;42.778,40
21.10.2025;20:00;42.098,27
21.10.2025;21:00;40.883,08
21.10.2025;22:00;39.094,07
21.10.2025;23:00;36.709,25
22.10.2025;00:00;34.531,67
22.10.2025;01:00;33.010,19
22.10.2025;02:00;31.940,02
22.10.2025;03:00;31.252,45
22.10.2025;04:00;31.230,83
22.10.2025;05:00;31.141,09
22.10.2025;06:00;32.678,28
22.10.2025;07:00;34.797,22
22.10.2025;08:00;39.930,10
22.10.2025;09:00;41.471,60
22.10.2025;10:00;41.125,31
22.10.2025;11:00;41.444,88
22.10.2025;12:00;40.044,01
22.10.2025;13:00;40.738,26
22.10.2025;14:00;41.712,21
22.10.2025;15:00;41.427,23
22.10.2025;16:00;42.138,02
22.10.2025;17:00;43.290,13
22.10.2025;18:00;43.911,68
22.10.2025;19:00;42.969,92
22.10.2025;20:00;41.801,80
22.10.2025;21:00;40.508,75
22.10.2025;22:00;38.861,67
22.10.2025;23:00;36.849,60
23.10.2025;00:00;34.807,83
23.10.2025;01:00;33.286,12
23.10.2025;02:00;32.104,08
23.10.2025;03:00;31.460,73
23.10.2025;04:00;31.235,66
23.10.2025;05:00;31.699,40
23.10.2025;06:00;32.908,02
23.10.2025;07:00;34.802,38
23.10.2025;08:00;39.744,08
23.10.2025;09:00;41.757,86
23.10.2025;10:00;42.413,92
23.10.2025;11:00;43.049,98
23.10.2025;12:00;41.269,31
23.10.2025;13:00;41.751,25
23.10.2025;14:00;42.637,93
23.10.2025;15:00;42.645,71
23.10.2025;16:00;43.534,39
23.10.2025;17:00;43.843,37
23.10.2025;18:00;44.142,82
23.10.2025;19:00;43.381,99
23.10.2025;20:00;42.085,28
23.10.2025;21:00;40.782,05
23.10.2025;22:00;39.187,89
23.10.2025;23:00;37.038,45
24.10.2025;00:00;34.814,26
24.10.2025;01:00;33.378,87
24.10.2025;02:00;32.150,80
24.10.2025;03:00;31.513,11
24.10.2025;04:00;31.340,09
24.10.2025;05:00;31.664,45
24.10.2025;06:00;32.639,18
24.10.2025;07:00;34.640,94
24.10.2025;08:00;39.381,92
24.10.2025;09:00;41.360,09
24.10.2025;10:00;41.890,36
24.10.2025;11:00;42.121,21
24.10.2025;12:00;39.346,94
24.10.2025;13:00;40.017,98
24.10.2025;14:00;42.206,52
24.10.2025;15:00;42.389,73
24.10.2025;16:00;43.092,69
24.10.2025;17:00;43.656,33
24.10.2025;18:00;43.555,20
24.10.2025;19:00;42.445,01
24.10.2025;20:00;41.384,96
24.10.2025;21:00;39.969,88
24.10.2025;22:00;38.436,61
24.10.2025;23:00;36.547,96
25.10.2025;00:00;34.772,81
25.10.2025;01:00;32.827,64
25.10.2025;02:00;31.691,04
25.10.2025;03:00;30.852,21
25.10.2025;04:00;30.464,53
25.10.2025;05:00;30.614,97
25.10.2025;06:00;31.073,26
25.10.2025;07:00;31.949,91
25.10.2025;08:00;36.110,81
25.10.2025;09:00;38.301,07
25.10.2025;10:00;39.370,29
25.10.2025;11:00;40.168,38
25.10.2025;12:00;39.267,31
25.10.2025;13:00;38.704,25
25.10.2025;14:00;39.306,03
25.10.2025;15:00;38.449,00
25.10.2025;16:00;38.808,61
25.10.2025;17:00;39.678,31
25.10.2025;18:00;41.302,31
25.10.2025;19:00;40.599,46
25.10.2025;20:00;39.496,04
25.10.2025;21:00;38.220,84
25.10.2025;22:00;36.793,36
25.10.2025;23:00;34.439,48
26.10.2025;00:00;33.113,16
26.10.2025;01:00;31.484,55
26.10.2025;02:00;30.073,44
26.10.2025;03:00;29.369,35
26.10.2025;04:00;28.895,23
26.10.2025;05:00;28.954,25
26.10.2025;06:00;29.009,33
26.10.2025;07:00;28.459,14
26.10.2025;08:00;29.341,91
26.10.2025;09:00;30.723,61
26.10.2025;10:00;32.428,19
26.10.2025;11:00;32.983,66
26.10.2025;12:00;32.707,40
26.10.2025;13:00;32.504,00
26.10.2025;14:00;32.867,42
26.10.2025;15:00;33.100,59
26.10.2025;16:00;33.950,71
26.10.2025;17:00;35.455,34
26.10.2025;18:00;37.641,85
26.10.2025;19:00;37.637,90
26.10.2025;20:00;36.962,16
26.10.2025;21:00;35.968,55
26.10.2025;22:00;34.572,88
26.10.2025;23:00;32.868,18
27.10.2025;00:00;31.249,45
27.10.2025;01:00;29.813,61
27.10.2025;02:00;28.659,06
27.10.2025;03:00;28.163,90
27.10.2025;04:00;27.894,40
27.10.2025;05:00;28.287,49
27.10.2025;06:00;29.532,28
27.10.2025;07:00;32.101,10
27.10.2025;08:00;37.433,40
27.10.2025;09:00;38.938,28
27.10.2025;10:00;39.226,77
27.10.2025;11:00;40.182,49
27.10.2025;12:00;38.354,44
27.10.2025;13:00;39.250,61
27.10.2025;14:00;40.167,89
27.10.2025;15:00;40.540,38
27.10.2025;16:00;41.293,76
27.10.2025;17:00;42.315,94
27.10.2025;18:00;42.361,36
27.10.2025;19:00;41.344,65
27.10.2025;20:00;40.334,39
27.10.2025;21:00;38.921,60
27.10.2025;22:00;37.301,96
27.10.2025;23:00;35.016,67
28.10.2025;00:00;33.505,66
28.10.2025;01:00;31.947,67
28.10.2025;02:00;30.767,40
28.10.2025;03:00;30.041,51
28.10.2025;04:00;29.817,99
28.10.2025;05:00;30.263,23
28.10.2025;06:00;30.993,29
28.10.2025;07:00;32.703,91
28.10.2025;08:00;37.026,29
28.10.2025;09:00;38.500,46
28.10.2025;10:00;39.110,54
28.10.2025;11:00;39.471,20
28.10.2025;12:00;37.339,65
28.10.2025;13:00;37.393,60
28.10.2025;14:00;38.204,63
28.10.2025;15:00;38.155,31
28.10.2025;16:00;38.665,82
28.10.2025;17:00;39.836,47
28.10.2025;18:00;40.334,33
28.10.2025;19:00;39.384,12
28.10.2025;20:00;37.971,85
28.10.2025;21:00;36.768,14
28.10.2025;22:00;35.212,95
28.10.2025;23:00;32.725,99
29.10.2025;00:00;29.904,56
29.10.2025;01:00;29.853,42
29.10.2025;02:00;28.407,45
29.10.2025;03:00;27.954,62
29.10.2025;04:00;27.550,68
29.10.2025;05:00;27.765,11
29.10.2025;06:00;26.878,87
29.10.2025;07:00;26.252,76
29.10.2025;08:00;27.904,84
